Name,State,AL,AK,AZ,AR,CA,CNMI,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VT,VA,VI,WA,WV,WI,WY,Calculated SARA Total,Calculated non-SARA Total,Grand Total
SUNY College of Technology at Alfred,NY,0,0,1,2,1,0,0,0,0,1,3,1,0,0,3,0,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,8,0,0,0,0,0,3,2,1,2,0,0,0,0,0,33,4,37
SUNY College of Technology at Canton,NY,0,1,1,0,3,0,0,3,1,0,3,0,0,0,1,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,2,8,1,0,1,0,0,0,1,5,0,1,0,0,0,3,0,1,0,0,0,0,1,0,37,6,43
SUNY College of Technology at Delhi,NY,0,0,1,1,2,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,11,1,0,2,0,1,0,0,4,0,0,2,0,2,2,0,1,2,0,0,0,0,0,42,6,48
SUNY Empire State College,NY,2,0,9,1,30,0,6,22,2,0,32,18,5,1,3,0,0,6,0,3,1,13,18,6,4,2,1,2,0,3,3,50,4,0,22,0,12,3,2,34,1,2,12,0,7,22,0,3,29,0,11,1,3,0,330,89,419
Susquehanna University,PA,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0,0,0,0,0,1,36,1,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,71,2,73
Syracuse University,NY,7,6,13,1,121,0,19,24,1,1,33,20,4,1,31,15,2,4,6,6,1,34,25,18,3,2,6,0,1,4,8,66,2,0,31,0,22,7,4,44,1,3,5,2,12,50,3,3,64,0,22,2,0,0,580,180,760
Tabor College,KS,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,0,0,2,2,7,0,0,0,0,1,0,0,0,23,3,26
Tacoma Community College,WA,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,10,2,12
Tarleton State University,TX,1,0,0,1,3,0,1,0,0,0,1,1,0,0,1,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12,17,29
Tarrant County College District,TX,2,0,2,0,3,0,1,0,0,0,1,1,0,0,2,0,0,0,0,3,0,0,0,0,0,2,1,3,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,4,27
Taylor University,IN,0,2,3,0,70,0,3,1,0,0,2,5,2,0,17,0,1,0,3,0,0,1,1,21,7,1,4,0,0,0,0,1,0,5,6,0,16,2,3,12,0,0,0,0,3,7,0,0,3,0,9,0,5,0,143,73,216
Teachers College at Columbia University,NY,1,0,0,1,13,0,3,5,1,1,3,1,1,0,2,0,0,0,0,0,1,2,3,2,1,0,1,0,0,0,0,20,0,0,1,0,1,0,1,5,0,1,0,0,0,3,1,2,2,0,1,0,2,0,63,19,82
Technical College of the Lowcountry,SC,0,0,0,0,1,0,0,0,0,0,1,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,78,2,80
Tennessee State University,TN,5,0,1,0,0,0,3,1,0,3,0,29,0,0,30,7,0,1,7,0,1,2,0,23,0,5,11,1,1,0,0,1,0,1,1,0,17,1,0,1,0,0,7,0,0,5,0,0,1,0,1,2,4,0,173,0,173
Tennessee Technological University,TN,2,0,0,0,2,0,2,0,0,0,3,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0,0,0,17,5,22
Tennessee Wesleyan University,TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terra State Community College,OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7
Texarkana College,TX,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,28
Texas A & M International University,TX,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Texas A & M University,TX,10,5,10,5,58,0,15,5,1,3,20,26,2,4,5,6,3,3,6,5,2,13,13,8,11,0,7,2,4,3,1,10,6,7,16,3,18,7,6,16,1,0,3,1,5,0,7,0,28,0,14,3,3,1,319,92,411
Texas A & M University-Commerce,TX,4,1,11,9,51,0,5,5,0,1,29,11,7,4,12,8,3,3,1,10,0,7,3,4,2,2,7,4,0,4,0,16,4,10,10,0,8,21,8,14,0,2,9,2,9,0,6,0,23,0,11,3,6,1,288,87,375
Texas A & M University - Corpus Christi,TX,2,1,2,1,9,0,1,1,1,0,3,2,0,0,1,3,1,0,0,0,1,4,0,1,0,3,3,0,0,0,0,0,1,1,2,0,1,3,0,2,0,0,0,0,2,0,0,0,4,0,1,0,0,0,45,13,58
Texas A & M University - Kingsville,TX,1,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
Texas Christian University,TX,0,0,1,0,4,0,0,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,1,1,3,2,0,1,0,0,0,0,1,0,0,0,2,0,2,0,0,0,25,5,30
Texas State University,TX,0,0,0,0,5,0,0,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,2,0,0,1,2,1,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,22,7,29
Texas Tech University,TX,7,1,11,9,34,0,12,3,0,1,15,7,1,3,7,4,1,4,0,2,0,6,2,3,4,4,9,5,2,2,0,4,24,5,9,0,3,4,4,9,0,0,6,0,1,0,9,0,10,0,14,6,5,6,227,55,282
