UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW
443410,R,187,R,151,R,36,R,0,R,0,R,0,R,9,R,7,R,2,R,0,R,0,R,0,R,10,R,6,R,4,R,1,R,1,R,0,R,85,R,68,R,17,R,7,R,4,R,3,R,36,R,32,R,4,R,39,R,33,R,6
443483,R,75,R,13,R,62,R,1,Z,0,R,1,R,1,Z,0,R,1,R,3,Z,0,R,3,R,6,Z,0,R,6,R,0,Z,0,Z,0,R,28,R,5,R,23,R,3,Z,0,R,3,R,33,R,8,R,25,R,0,Z,0,Z,0
443492,R,381,R,156,R,225,R,1,R,1,R,0,R,2,R,0,R,2,R,22,R,8,R,14,R,5,R,2,R,3,R,1,R,1,R,0,R,335,R,138,R,197,R,11,R,4,R,7,R,4,R,2,R,2,R,0,R,0,R,0
443544,R,44,R,13,R,31,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,11,Z,0,R,11,R,2,Z,0,R,2,R,0,Z,0,Z,0,R,14,R,7,R,7,R,1,Z,0,R,1,R,16,R,6,R,10,R,0,Z,0,Z,0
443562,R,260,R,62,R,198,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,260,R,62,R,198,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
443571,R,73,R,50,R,23,R,0,Z,0,Z,0,R,3,R,3,Z,0,R,6,R,2,R,4,R,56,R,40,R,16,R,0,Z,0,Z,0,R,6,R,3,R,3,R,0,Z,0,Z,0,R,2,R,2,Z,0,R,0,Z,0,Z,0
443599,R,159,R,16,R,143,R,8,R,1,R,7,R,4,R,1,R,3,R,4,Z,0,R,4,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,135,R,14,R,121,R,3,Z,0,R,3,R,4,Z,0,R,4,R,0,Z,0,Z,0
443623,R,430,R,194,R,236,R,0,R,0,R,0,R,17,R,5,R,12,R,221,R,98,R,123,R,27,R,15,R,12,R,1,R,1,R,0,R,58,R,32,R,26,R,12,R,2,R,10,R,94,R,41,R,53,R,0,R,0,R,0
443632,R,155,R,120,R,35,R,1,R,1,R,0,R,3,R,3,R,0,R,12,R,5,R,7,R,18,R,13,R,5,R,2,R,1,R,1,R,100,R,82,R,18,R,15,R,11,R,4,R,4,R,4,R,0,R,0,R,0,R,0
443641,R,78,R,4,R,74,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,31,R,1,R,30,R,0,Z,0,Z,0,R,46,R,3,R,43,R,0,Z,0,Z,0
443650,R,325,R,97,R,228,R,0,Z,0,Z,0,R,2,Z,0,R,2,R,41,R,10,R,31,R,10,R,2,R,8,R,0,Z,0,Z,0,R,191,R,66,R,125,R,4,R,2,R,2,R,75,R,16,R,59,R,2,R,1,R,1
443669,R,271,R,32,R,239,R,12,R,2,R,10,R,12,R,1,R,11,R,12,R,2,R,10,R,114,R,8,R,106,R,4,R,2,R,2,R,112,R,17,R,95,R,0,Z,0,Z,0,R,4,Z,0,R,4,R,1,Z,0,R,1
443678,R,69,R,1,R,68,R,0,R,0,R,0,R,5,R,0,R,5,R,6,R,0,R,6,R,11,R,0,R,11,R,0,R,0,R,0,R,46,R,1,R,45,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0
443696,R,3,R,0,R,3,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,2,R,0,R,2,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
443702,R,10,R,8,R,2,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,10,R,8,R,2,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
443748,R,235,R,18,R,217,R,1,R,0,R,1,R,7,R,2,R,5,R,121,R,12,R,109,R,66,R,1,R,65,R,1,R,1,R,0,R,29,R,0,R,29,R,6,R,2,R,4,R,4,R,0,R,4,R,0,R,0,R,0
443766,R,268,R,61,R,207,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,183,R,33,R,150,R,7,R,2,R,5,R,0,Z,0,Z,0,R,54,R,20,R,34,R,6,R,1,R,5,R,13,R,4,R,9,R,4,Z,0,R,4
443784,R,344,R,133,R,211,R,2,Z,0,R,2,R,15,R,7,R,8,R,125,R,49,R,76,R,25,R,5,R,20,R,2,Z,0,R,2,R,146,R,58,R,88,R,6,R,2,R,4,R,15,R,9,R,6,R,8,R,3,R,5
443827,R,260,R,114,R,146,R,1,R,1,Z,0,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,249,R,108,R,141,R,0,Z,0,Z,0,R,9,R,5,R,4,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
443836,R,302,R,28,R,274,R,4,Z,0,R,4,R,5,R,2,R,3,R,20,Z,0,R,20,R,223,R,24,R,199,R,0,Z,0,Z,0,R,42,R,1,R,41,R,0,Z,0,Z,0,R,8,R,1,R,7,R,0,Z,0,Z,0
443854,R,305,R,126,R,179,R,2,R,0,R,2,R,7,R,5,R,2,R,127,R,46,R,81,R,115,R,51,R,64,R,1,R,1,R,0,R,41,R,17,R,24,R,6,R,4,R,2,R,6,R,2,R,4,R,0,R,0,R,0
443942,R,53,R,3,R,50,R,1,Z,0,R,1,R,1,Z,0,R,1,R,2,Z,0,R,2,R,6,R,1,R,5,R,1,Z,0,R,1,R,42,R,2,R,40,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
