UNITID,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSAIANM,CSAIANM,XCSAIANW,CSAIANW,XCSASIAT,CSASIAT,XCSASIAM,CSASIAM,XCSASIAW,CSASIAW,XCSBKAAT,CSBKAAT,XCSBKAAM,CSBKAAM,XCSBKAAW,CSBKAAW,XCSHISPT,CSHISPT,XCSHISPM,CSHISPM,XCSHISPW,CSHISPW,XCSNHPIT,CSNHPIT,XCSNHPIM,CSNHPIM,XCSNHPIW,CSNHPIW,XCSWHITT,CSWHITT,XCSWHITM,CSWHITM,XCSWHITW,CSWHITW,XCS2MORT,CS2MORT,XCS2MORM,CS2MORM,XCS2MORW,CS2MORW,XCSUNKNT,CSUNKNT,XCSUNKNM,CSUNKNM,XCSUNKNW,CSUNKNW,XCSNRALT,CSNRALT,XCSNRALM,CSNRALM,XCSNRALW,CSNRALW
100654,R,731,R,272,R,459,R,2,R,0,R,2,R,4,R,1,R,3,R,621,R,236,R,385,R,6,R,0,R,6,R,2,R,1,R,1,R,70,R,26,R,44,R,0,R,0,R,0,R,12,R,1,R,11,R,14,R,7,R,7
100663,R,4394,R,1674,R,2720,R,13,R,8,R,5,R,212,R,77,R,135,R,772,R,221,R,551,R,125,R,40,R,85,R,5,R,3,R,2,R,2928,R,1158,R,1770,R,127,R,50,R,77,R,44,R,20,R,24,R,168,R,97,R,71
100690,R,116,R,61,R,55,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,49,R,18,R,31,R,3,R,1,R,2,R,0,Z,0,Z,0,R,50,R,33,R,17,R,0,Z,0,Z,0,R,14,R,9,R,5,R,0,Z,0,Z,0
100706,R,1632,R,851,R,781,R,18,R,10,R,8,R,53,R,25,R,28,R,170,R,62,R,108,R,41,R,20,R,21,R,1,R,1,Z,0,R,1120,R,587,R,533,R,36,R,20,R,16,R,56,R,30,R,26,R,137,R,96,R,41
100724,R,822,R,275,R,547,R,2,R,1,R,1,R,6,R,3,R,3,R,695,R,221,R,474,R,14,R,5,R,9,R,0,R,0,R,0,R,59,R,27,R,32,R,7,R,2,R,5,R,11,R,3,R,8,R,28,R,13,R,15
100751,R,8340,R,3576,R,4764,R,29,R,16,R,13,R,104,R,52,R,52,R,858,R,256,R,602,R,268,R,101,R,167,R,12,R,5,R,7,R,6524,R,2869,R,3655,R,157,R,62,R,95,R,36,R,18,R,18,R,352,R,197,R,155
100760,R,333,R,153,R,180,R,1,R,0,R,1,R,1,R,0,R,1,R,74,R,22,R,52,R,5,R,3,R,2,R,0,R,0,R,0,R,247,R,126,R,121,R,2,R,1,R,1,R,2,R,0,R,2,R,1,R,1,R,0
100812,R,780,R,264,R,516,R,13,R,7,R,6,R,5,R,1,R,4,R,86,R,24,R,62,R,18,R,6,R,12,R,0,Z,0,Z,0,R,618,R,215,R,403,R,15,R,3,R,12,R,21,R,8,R,13,R,4,Z,0,R,4
100830,R,862,R,313,R,549,R,3,R,2,R,1,R,15,R,4,R,11,R,172,R,49,R,123,R,8,R,1,R,7,R,1,R,0,R,1,R,479,R,168,R,311,R,10,R,6,R,4,R,110,R,47,R,63,R,64,R,36,R,28
100858,R,6134,R,2961,R,3173,R,33,R,15,R,18,R,127,R,56,R,71,R,422,R,168,R,254,R,192,R,102,R,90,R,3,R,1,R,2,R,4888,R,2337,R,2551,R,61,R,27,R,34,R,36,R,18,R,18,R,372,R,237,R,135
100937,R,261,R,133,R,128,R,2,R,1,R,1,R,10,R,5,R,5,R,22,R,9,R,13,R,4,R,3,R,1,R,0,Z,0,Z,0,R,222,R,114,R,108,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,0,Z,0,Z,0
101028,R,281,R,108,R,173,R,0,R,0,R,0,R,6,R,3,R,3,R,106,R,35,R,71,R,12,R,1,R,11,R,2,R,1,R,1,R,147,R,65,R,82,R,4,R,1,R,3,R,4,R,2,R,2,R,0,R,0,R,0
101073,R,70,R,27,R,43,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,58,R,23,R,35,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,2,Z,0,R,2,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,10,R,4,R,6
101116,R,153,R,35,R,118,R,3,R,0,R,3,R,4,R,1,R,3,R,74,R,16,R,58,R,2,R,0,R,2,R,1,R,0,R,1,R,65,R,17,R,48,R,0,R,0,R,0,R,4,R,1,R,3,R,0,R,0,R,0
101143,R,264,R,121,R,143,R,3,R,2,R,1,R,6,R,2,R,4,R,61,R,26,R,35,R,11,R,4,R,7,R,1,R,1,R,0,R,165,R,76,R,89,R,17,R,10,R,7,R,0,R,0,R,0,R,0,R,0,R,0
101161,R,541,R,180,R,361,R,8,R,1,R,7,R,5,R,2,R,3,R,97,R,30,R,67,R,17,R,6,R,11,R,1,R,1,R,0,R,402,R,136,R,266,R,11,R,4,R,7,R,0,R,0,R,0,R,0,R,0,R,0
101189,R,722,R,234,R,488,R,15,R,4,R,11,R,6,R,4,R,2,R,335,R,63,R,272,R,11,R,3,R,8,R,1,R,1,R,0,R,315,R,145,R,170,R,15,R,4,R,11,R,24,R,10,R,14,R,0,R,0,R,0
101240,R,808,R,334,R,474,R,4,R,2,R,2,R,6,R,2,R,4,R,140,R,57,R,83,R,27,R,11,R,16,R,1,R,0,R,1,R,575,R,233,R,342,R,17,R,7,R,10,R,18,R,9,R,9,R,20,R,13,R,7
101277,R,70,R,0,R,70,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,8,R,0,R,8,R,0,R,0,R,0,R,61,R,0,R,61,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
101286,R,895,R,356,R,539,R,4,R,3,R,1,R,9,R,1,R,8,R,234,R,76,R,158,R,21,R,4,R,17,R,0,Z,0,Z,0,R,617,R,270,R,347,R,9,R,2,R,7,R,1,Z,0,R,1,R,0,Z,0,Z,0
101295,R,1173,R,468,R,705,R,12,R,3,R,9,R,10,Z,0,R,10,R,45,R,23,R,22,R,43,R,19,R,24,R,0,Z,0,Z,0,R,1036,R,411,R,625,R,0,Z,0,Z,0,R,19,R,5,R,14,R,8,R,7,R,1
101301,R,340,R,138,R,202,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,255,R,103,R,152,R,2,Z,0,R,2,R,0,Z,0,Z,0,R,69,R,27,R,42,R,0,Z,0,Z,0,R,12,R,6,R,6,R,1,R,1,Z,0
101365,R,174,R,95,R,79,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,67,R,15,R,52,R,2,R,1,R,1,R,2,R,2,Z,0,R,89,R,69,R,20,R,7,R,4,R,3,R,6,R,4,R,2,R,0,Z,0,Z,0
101435,R,249,R,118,R,131,R,4,R,4,R,0,R,3,R,1,R,2,R,59,R,16,R,43,R,2,R,1,R,1,R,0,R,0,R,0,R,145,R,73,R,72,R,7,R,5,R,2,R,27,R,16,R,11,R,2,R,2,R,0
101453,R,21,R,21,R,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,R,1,Z,0,R,0,Z,0,Z,0,R,17,R,17,Z,0,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,1,R,1,Z,0
101462,R,147,R,50,R,97,R,1,R,0,R,1,R,2,R,0,R,2,R,86,R,17,R,69,R,5,R,1,R,4,R,0,R,0,R,0,R,50,R,32,R,18,R,0,R,0,R,0,R,2,R,0,R,2,R,1,R,0,R,1
101471,R,511,R,415,R,96,R,1,R,1,R,0,R,2,R,1,R,1,R,288,R,261,R,27,R,10,R,9,R,1,R,0,R,0,R,0,R,210,R,143,R,67,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
101480,R,1724,R,603,R,1121,R,12,R,2,R,10,R,7,R,2,R,5,R,223,R,77,R,146,R,11,R,4,R,7,R,0,R,0,R,0,R,833,R,298,R,535,R,0,R,0,R,0,R,587,R,198,R,389,R,51,R,22,R,29
101499,R,256,R,118,R,138,R,6,R,2,R,4,R,5,R,1,R,4,R,67,R,31,R,36,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,157,R,66,R,91,R,4,R,2,R,2,R,16,R,16,R,0,R,0,Z,0,Z,0
101505,R,985,R,328,R,657,R,0,R,0,R,0,R,16,R,6,R,10,R,200,R,58,R,142,R,22,R,13,R,9,R,0,R,0,R,0,R,699,R,231,R,468,R,35,R,15,R,20,R,0,R,0,R,0,R,13,R,5,R,8
101514,R,1549,R,732,R,817,R,27,R,14,R,13,R,36,R,7,R,29,R,215,R,97,R,118,R,59,R,24,R,35,R,1,R,1,Z,0,R,1117,R,543,R,574,R,57,R,27,R,30,R,31,R,17,R,14,R,6,R,2,R,4
101541,R,42,R,0,R,42,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,11,Z,0,R,11,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,30,Z,0,R,30,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1,Z,0,R,1
101569,R,437,R,229,R,208,R,0,R,0,R,0,R,7,R,6,R,1,R,306,R,141,R,165,R,5,R,2,R,3,R,2,R,0,R,2,R,103,R,74,R,29,R,4,R,3,R,1,R,8,R,3,R,5,R,2,R,0,R,2
101587,R,966,R,235,R,731,R,8,R,1,R,7,R,3,R,0,R,3,R,329,R,71,R,258,R,12,R,4,R,8,R,0,R,0,R,0,R,525,R,131,R,394,R,16,R,3,R,13,R,22,R,3,R,19,R,51,R,22,R,29
101602,R,403,R,167,R,236,R,2,R,1,R,1,R,2,R,0,R,2,R,83,R,24,R,59,R,5,R,3,R,2,R,0,R,0,R,0,R,308,R,138,R,170,R,3,R,1,R,2,R,0,R,0,R,0,R,0,R,0,R,0
101648,R,126,R,103,R,23,R,2,R,1,R,1,R,2,R,2,R,0,R,24,R,19,R,5,R,16,R,10,R,6,R,1,R,1,R,0,R,74,R,63,R,11,R,6,R,6,R,0,R,1,R,1,R,0,R,0,R,0,R,0
101675,R,231,R,103,R,128,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,228,R,100,R,128,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,2,R,2,Z,0,R,0,Z,0,Z,0,R,1,R,1,Z,0,R,0,Z,0,Z,0
101693,R,300,R,101,R,199,R,7,R,0,R,7,R,7,R,2,R,5,R,68,R,13,R,55,R,3,R,0,R,3,R,0,R,0,R,0,R,187,R,74,R,113,R,5,R,1,R,4,R,13,R,4,R,9,R,10,R,7,R,3
101709,R,696,R,199,R,497,R,3,R,0,R,3,R,4,R,0,R,4,R,72,R,16,R,56,R,16,R,7,R,9,R,0,R,0,R,0,R,386,R,108,R,278,R,0,R,0,R,0,R,204,R,66,R,138,R,11,R,2,R,9
101736,R,537,R,288,R,249,R,4,R,4,R,0,R,5,R,2,R,3,R,50,R,22,R,28,R,15,R,9,R,6,R,0,R,0,R,0,R,460,R,250,R,210,R,3,R,1,R,2,R,0,R,0,R,0,R,0,R,0,R,0
101879,R,1324,R,490,R,834,R,13,R,4,R,9,R,2,R,1,R,1,R,161,R,55,R,106,R,27,R,11,R,16,R,1,R,1,R,0,R,986,R,366,R,620,R,33,R,6,R,27,R,34,R,16,R,18,R,67,R,30,R,37
101897,R,447,R,165,R,282,R,23,R,9,R,14,R,4,R,2,R,2,R,8,R,4,R,4,R,29,R,10,R,19,R,0,Z,0,Z,0,R,373,R,136,R,237,R,6,R,3,R,3,R,1,Z,0,R,1,R,3,R,1,R,2
101912,R,376,R,140,R,236,R,1,R,1,R,0,R,5,R,3,R,2,R,311,R,115,R,196,R,9,R,5,R,4,R,0,Z,0,Z,0,R,16,R,5,R,11,R,0,Z,0,Z,0,R,5,R,3,R,2,R,29,R,8,R,21
101949,R,290,R,135,R,155,R,4,R,1,R,3,R,2,R,2,R,0,R,99,R,39,R,60,R,1,R,0,R,1,R,0,R,0,R,0,R,179,R,90,R,89,R,2,R,2,R,0,R,2,R,1,R,1,R,1,R,0,R,1
101958,R,10,R,1,R,9,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,8,R,1,R,7,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
101994,R,157,R,58,R,99,R,3,R,0,R,3,R,0,R,0,R,0,R,62,R,18,R,44,R,0,R,0,R,0,R,0,R,0,R,0,R,91,R,40,R,51,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0
102030,R,562,R,296,R,266,R,6,R,4,R,2,R,6,R,2,R,4,R,372,R,187,R,185,R,11,R,7,R,4,R,1,R,1,R,0,R,157,R,89,R,68,R,5,R,4,R,1,R,0,R,0,R,0,R,4,R,2,R,2
102049,R,1418,R,533,R,885,R,3,R,0,R,3,R,24,R,8,R,16,R,101,R,31,R,70,R,59,R,20,R,39,R,0,R,0,R,0,R,1163,R,442,R,721,R,13,R,2,R,11,R,13,R,5,R,8,R,42,R,25,R,17
102067,R,621,R,249,R,372,R,2,R,2,R,0,R,4,R,1,R,3,R,189,R,63,R,126,R,2,R,0,R,2,R,0,R,0,R,0,R,389,R,170,R,219,R,6,R,1,R,5,R,29,R,12,R,17,R,0,R,0,R,0
102076,R,523,R,198,R,325,R,11,R,7,R,4,R,8,R,2,R,6,R,29,R,8,R,21,R,47,R,19,R,28,R,0,R,0,R,0,R,410,R,154,R,256,R,0,R,0,R,0,R,16,R,6,R,10,R,2,R,2,R,0
102094,R,3458,R,1211,R,2247,R,24,R,6,R,18,R,124,R,44,R,80,R,559,R,159,R,400,R,78,R,37,R,41,R,6,R,4,R,2,R,2342,R,746,R,1596,R,58,R,20,R,38,R,53,R,16,R,37,R,214,R,179,R,35
102234,R,258,R,113,R,145,R,3,R,1,R,2,R,3,R,3,R,0,R,21,R,6,R,15,R,18,R,10,R,8,R,0,R,0,R,0,R,181,R,81,R,100,R,9,R,4,R,5,R,16,R,3,R,13,R,7,R,5,R,2
102261,R,29,R,17,R,12,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,10,R,4,R,6,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,18,R,13,R,5,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
102270,R,121,R,49,R,72,R,0,R,0,R,0,R,0,R,0,R,0,R,103,R,40,R,63,R,1,R,0,R,1,R,0,R,0,R,0,R,11,R,6,R,5,R,0,R,0,R,0,R,0,R,0,R,0,R,6,R,3,R,3
102298,R,127,R,64,R,63,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,119,R,59,R,60,R,3,R,3,R,0,R,0,Z,0,Z,0,R,5,R,2,R,3,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
102313,R,390,R,215,R,175,R,0,Z,0,Z,0,R,6,R,4,R,2,R,204,R,105,R,99,R,2,R,1,R,1,R,0,Z,0,Z,0,R,174,R,102,R,72,R,2,R,2,Z,0,R,2,R,1,R,1,R,0,Z,0,Z,0
102368,R,3765,R,1420,R,2345,R,32,R,11,R,21,R,33,R,8,R,25,R,1156,R,323,R,833,R,148,R,64,R,84,R,4,R,3,R,1,R,1938,R,800,R,1138,R,79,R,26,R,53,R,168,R,69,R,99,R,207,R,116,R,91
102377,R,644,R,275,R,369,R,0,R,0,R,0,R,11,R,8,R,3,R,538,R,220,R,318,R,4,R,1,R,3,R,0,R,0,R,0,R,10,R,2,R,8,R,0,R,0,R,0,R,81,R,44,R,37,R,0,R,0,R,0
102395,R,108,R,82,R,26,R,0,R,0,Z,0,R,1,R,1,Z,0,R,25,R,15,R,10,R,5,R,4,R,1,R,3,R,1,R,2,R,63,R,52,R,11,R,1,R,1,R,0,R,10,R,8,R,2,R,0,R,0,Z,0
102429,R,743,R,360,R,383,R,1,R,1,R,0,R,4,R,1,R,3,R,106,R,52,R,54,R,6,R,2,R,4,R,0,R,0,R,0,R,615,R,297,R,318,R,5,R,2,R,3,R,6,R,5,R,1,R,0,R,0,R,0
102553,R,2472,R,936,R,1536,R,119,R,43,R,76,R,161,R,56,R,105,R,72,R,31,R,41,R,172,R,51,R,121,R,15,R,6,R,9,R,1597,R,630,R,967,R,204,R,59,R,145,R,90,R,38,R,52,R,42,R,22,R,20
102580,R,6,R,2,R,4,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,5,R,2,R,3,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
102614,R,1463,R,617,R,846,R,222,R,68,R,154,R,16,R,12,R,4,R,23,R,7,R,16,R,55,R,22,R,33,R,3,R,2,R,1,R,706,R,311,R,395,R,67,R,23,R,44,R,326,R,147,R,179,R,45,R,25,R,20
102632,R,600,R,239,R,361,R,64,R,30,R,34,R,17,R,4,R,13,R,6,R,3,R,3,R,28,R,9,R,19,R,4,R,1,R,3,R,356,R,145,R,211,R,42,R,11,R,31,R,79,R,35,R,44,R,4,R,1,R,3
102669,R,128,R,43,R,85,R,32,R,7,R,25,R,3,R,2,R,1,R,5,R,2,R,3,R,4,R,2,R,2,R,0,R,0,R,0,R,66,R,25,R,41,R,5,R,1,R,4,R,12,R,4,R,8,R,1,R,0,R,1
102711,R,272,R,187,R,85,R,93,R,65,R,28,R,11,R,3,R,8,R,3,R,0,R,3,R,14,R,11,R,3,R,0,R,0,R,0,R,115,R,85,R,30,R,25,R,13,R,12,R,11,R,10,R,1,R,0,R,0,R,0
102845,R,1735,R,448,R,1287,R,62,R,19,R,43,R,89,R,35,R,54,R,88,R,22,R,66,R,505,R,91,R,414,R,4,R,0,R,4,R,790,R,233,R,557,R,78,R,22,R,56,R,119,R,26,R,93,R,0,Z,0,Z,0
103501,R,297,R,38,R,259,R,42,R,4,R,38,R,55,R,6,R,49,R,22,R,5,R,17,R,37,R,5,R,32,R,0,R,0,R,0,R,130,R,18,R,112,R,7,R,0,R,7,R,4,R,0,R,4,R,0,R,0,R,0
103741,R,44,R,3,R,41,R,1,R,0,R,1,R,2,R,0,R,2,R,7,R,1,R,6,R,22,R,1,R,21,R,0,R,0,R,0,R,10,R,1,R,9,R,1,R,0,R,1,R,1,R,0,R,1,R,0,R,0,R,0
103778,R,326,R,223,R,103,R,0,Z,0,Z,0,R,10,R,8,R,2,R,5,R,2,R,3,R,10,R,8,R,2,R,0,Z,0,Z,0,R,74,R,53,R,21,R,1,R,1,Z,0,R,145,R,94,R,51,R,81,R,57,R,24
103811,R,915,R,828,R,87,R,5,R,4,R,1,R,8,R,7,R,1,R,230,R,207,R,23,R,192,R,183,R,9,R,15,R,12,R,3,R,402,R,356,R,46,R,54,R,51,R,3,R,9,R,8,R,1,R,0,R,0,R,0
103893,R,532,R,69,R,463,R,44,R,3,R,41,R,9,R,3,R,6,R,21,R,2,R,19,R,324,R,45,R,279,R,0,R,0,R,0,R,121,R,14,R,107,R,7,R,0,R,7,R,6,R,2,R,4,R,0,R,0,R,0
103909,R,477,R,83,R,394,R,79,R,13,R,66,R,7,R,3,R,4,R,26,R,5,R,21,R,171,R,32,R,139,R,3,R,1,R,2,R,176,R,27,R,149,R,13,R,2,R,11,R,2,R,0,R,2,R,0,R,0,R,0
103927,R,295,R,53,R,242,R,16,R,2,R,14,R,1,R,0,R,1,R,11,R,4,R,7,R,203,R,37,R,166,R,1,R,1,R,0,R,57,R,7,R,50,R,2,R,1,R,1,R,4,R,1,R,3,R,0,R,0,R,0
103945,R,46,R,5,R,41,R,26,R,3,R,23,R,0,Z,0,Z,0,R,1,Z,0,R,1,R,6,R,1,R,5,R,0,Z,0,Z,0,R,7,Z,0,R,7,R,5,R,1,R,4,R,1,Z,0,R,1,R,0,Z,0,Z,0
103954,R,21,R,0,R,21,R,0,R,0,R,0,R,1,R,0,R,1,R,3,R,0,R,3,R,8,R,0,R,8,R,0,R,0,R,0,R,8,R,0,R,8,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0
103963,R,449,R,431,R,18,R,64,R,57,R,7,R,3,R,3,R,0,R,25,R,25,R,0,R,162,R,157,R,5,R,9,R,9,R,0,R,181,R,176,R,5,R,1,R,0,R,1,R,4,R,4,R,0,R,0,R,0,R,0
104090,R,600,R,111,R,489,R,40,R,7,R,33,R,24,R,6,R,18,R,86,R,22,R,64,R,190,R,32,R,158,R,1,R,0,R,1,R,229,R,40,R,189,R,24,R,2,R,22,R,5,R,2,R,3,R,1,R,0,R,1
104151,R,12371,R,6905,R,5466,R,155,R,64,R,91,R,778,R,397,R,381,R,373,R,199,R,174,R,1828,R,882,R,946,R,20,R,10,R,10,R,6564,R,3609,R,2955,R,394,R,195,R,199,R,93,R,56,R,37,R,2166,R,1493,R,673
104160,R,1497,R,834,R,663,R,25,R,20,R,5,R,14,R,5,R,9,R,77,R,71,R,6,R,912,R,443,R,469,R,3,R,3,R,0,R,342,R,225,R,117,R,15,R,7,R,8,R,56,R,41,R,15,R,53,R,19,R,34
104179,R,9737,R,4451,R,5286,R,93,R,34,R,59,R,547,R,237,R,310,R,263,R,109,R,154,R,1927,R,782,R,1145,R,21,R,14,R,7,R,5308,R,2401,R,2907,R,375,R,171,R,204,R,266,R,133,R,133,R,937,R,570,R,367
104188,R,11,R,5,R,6,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,1,R,1,R,0,R,0,R,0,R,5,R,2,R,3,R,0,R,0,R,0,R,2,R,1,R,1,R,1,R,0,R,1
104346,R,766,R,292,R,474,R,40,R,14,R,26,R,20,R,7,R,13,R,33,R,15,R,18,R,197,R,82,R,115,R,11,R,3,R,8,R,396,R,149,R,247,R,18,R,5,R,13,R,51,R,17,R,34,R,0,R,0,R,0
104364,R,181,R,58,R,123,R,8,R,1,R,7,R,2,R,1,R,1,R,17,R,8,R,9,R,82,R,24,R,58,R,1,R,0,R,1,R,69,R,23,R,46,R,0,R,0,R,0,R,2,R,1,R,1,R,0,R,0,R,0
104391,R,30,R,4,R,26,R,1,Z,0,R,1,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,7,Z,0,R,7,R,0,Z,0,Z,0,R,22,R,4,R,18,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0
104425,R,1706,R,1012,R,694,R,13,R,8,R,5,R,50,R,41,R,9,R,137,R,94,R,43,R,466,R,196,R,270,R,8,R,5,R,3,R,917,R,596,R,321,R,72,R,44,R,28,R,38,R,23,R,15,R,5,R,5,R,0
104434,R,22,R,0,R,22,R,4,R,0,R,4,R,0,R,0,R,0,R,0,R,0,R,0,R,5,R,0,R,5,R,0,R,0,R,0,R,12,R,0,R,12,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0
104443,R,32,R,4,R,28,R,1,R,0,R,1,R,1,R,0,R,1,R,5,R,0,R,5,R,11,R,4,R,7,R,0,R,0,R,0,R,14,R,0,R,14,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0
104504,R,94,R,23,R,71,R,3,Z,0,R,3,R,0,Z,0,Z,0,R,5,R,2,R,3,R,37,R,13,R,24,R,0,Z,0,Z,0,R,47,R,8,R,39,R,1,Z,0,R,1,R,1,Z,0,R,1,R,0,Z,0,Z,0
104568,R,204,R,4,R,200,R,6,Z,0,R,6,R,8,R,1,R,7,R,20,R,1,R,19,R,64,R,2,R,62,R,0,Z,0,Z,0,R,94,Z,0,R,94,R,3,Z,0,R,3,R,9,Z,0,R,9,R,0,Z,0,Z,0
104577,R,1357,R,856,R,501,R,103,R,51,R,52,R,17,R,9,R,8,R,99,R,91,R,8,R,317,R,204,R,113,R,7,R,2,R,5,R,775,R,482,R,293,R,5,R,4,R,1,R,20,R,8,R,12,R,14,R,5,R,9
104586,R,379,R,307,R,72,R,1,R,1,R,0,R,13,R,10,R,3,R,5,R,4,R,1,R,37,R,30,R,7,R,0,R,0,R,0,R,221,R,178,R,43,R,32,R,28,R,4,R,26,R,16,R,10,R,44,R,40,R,4
104665,R,12,R,11,R,1,R,0,R,0,R,0,R,1,R,1,R,0,R,1,R,1,R,0,R,1,R,1,R,0,R,0,R,0,R,0,R,6,R,5,R,1,R,1,R,1,R,0,R,0,R,0,R,0,R,2,R,2,R,0
104708,R,2395,R,1057,R,1338,R,26,R,11,R,15,R,87,R,39,R,48,R,128,R,57,R,71,R,743,R,305,R,438,R,8,R,7,R,1,R,1254,R,560,R,694,R,55,R,30,R,25,R,85,R,44,R,41,R,9,R,4,R,5
104717,R,17878,R,4092,R,13786,R,148,R,35,R,113,R,1176,R,228,R,948,R,3092,R,622,R,2470,R,2396,R,599,R,1797,R,94,R,29,R,65,R,8926,R,2081,R,6845,R,358,R,80,R,278,R,1688,R,418,R,1270,R,0,R,0,R,0
104911,R,63,R,9,R,54,R,0,R,0,R,0,R,2,R,0,R,2,R,15,R,3,R,12,R,23,R,4,R,19,R,0,R,0,R,0,R,18,R,1,R,17,R,1,R,0,R,1,R,4,R,1,R,3,R,0,R,0,R,0
105145,R,1186,R,478,R,708,R,51,R,18,R,33,R,51,R,16,R,35,R,100,R,39,R,61,R,357,R,155,R,202,R,2,Z,0,R,2,R,527,R,191,R,336,R,17,R,5,R,12,R,75,R,50,R,25,R,6,R,4,R,2
105154,R,2454,R,1184,R,1270,R,79,R,28,R,51,R,98,R,38,R,60,R,119,R,57,R,62,R,497,R,239,R,258,R,14,R,6,R,8,R,1408,R,699,R,709,R,51,R,30,R,21,R,149,R,69,R,80,R,39,R,18,R,21
105206,R,581,R,176,R,405,R,6,R,3,R,3,R,10,R,2,R,8,R,8,R,5,R,3,R,110,R,35,R,75,R,3,R,1,R,2,R,427,R,125,R,302,R,13,R,3,R,10,R,4,R,2,R,2,R,0,Z,0,Z,0
105215,R,749,R,715,R,34,R,15,R,11,R,4,R,3,R,2,R,1,R,29,R,29,R,0,R,57,R,54,R,3,R,6,R,6,R,0,R,508,R,489,R,19,R,67,R,61,R,6,R,63,R,62,R,1,R,1,R,1,R,0
105297,R,187,R,48,R,139,R,187,R,48,R,139,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,Z,0,Z,0,R,0,R,0,Z,0
105330,R,6558,R,2440,R,4118,R,188,R,50,R,138,R,113,R,42,R,71,R,162,R,50,R,112,R,1198,R,411,R,787,R,10,R,2,R,8,R,4346,R,1650,R,2696,R,267,R,98,R,169,R,129,R,53,R,76,R,145,R,84,R,61
105349,R,507,R,266,R,241,R,143,R,54,R,89,R,5,R,4,R,1,R,11,R,9,R,2,R,71,R,47,R,24,R,2,R,1,R,1,R,253,R,142,R,111,R,7,R,5,R,2,R,15,R,4,R,11,R,0,R,0,Z,0
105367,R,299,R,73,R,226,R,3,R,0,R,3,R,2,R,0,R,2,R,28,R,8,R,20,R,47,R,11,R,36,R,2,R,1,R,1,R,172,R,39,R,133,R,7,R,1,R,6,R,38,R,13,R,25,R,0,R,0,R,0
105428,R,1450,R,477,R,973,R,31,R,7,R,24,R,56,R,15,R,41,R,145,R,70,R,75,R,663,R,192,R,471,R,1,Z,0,R,1,R,443,R,152,R,291,R,23,R,10,R,13,R,80,R,25,R,55,R,8,R,6,R,2
105482,R,87,R,26,R,61,R,2,Z,0,R,2,R,1,R,1,Z,0,R,8,R,3,R,5,R,14,R,6,R,8,R,0,Z,0,Z,0,R,52,R,14,R,38,R,3,R,1,R,2,R,7,R,1,R,6,R,0,Z,0,Z,0
105525,R,3950,R,1887,R,2063,R,97,R,37,R,60,R,110,R,52,R,58,R,170,R,94,R,76,R,1478,R,630,R,848,R,14,R,8,R,6,R,1666,R,785,R,881,R,111,R,54,R,57,R,265,R,211,R,54,R,39,R,16,R,23
