UNITID,AWLEVELC,XCSTOTLT,CSTOTLT,XCSTOTLM,CSTOTLM,XCSTOTLW,CSTOTLW,XCSAIANT,CSAIANT,XCSASIAT,CSASIAT,XCSBKAAT,CSBKAAT,XCSHISPT,CSHISPT,XCSNHPIT,CSNHPIT,XCSWHITT,CSWHITT,XCS2MORT,CS2MORT,XCSUNKNT,CSUNKNT,XCSNRALT,CSNRALT,XCSUND18,CSUND18,XCS18_24,CS18_24,XCS25_39,CS25_39,XCSABV40,CSABV40,XCSUNKN,CSUNKN
139199,3,R,38,R,7,R,31,Z,0,Z,0,R,9,R,3,Z,0,R,24,R,1,R,1,Z,0,Z,0,R,4,R,14,R,20,Z,0
139199,5,R,286,R,33,R,253,Z,0,R,4,R,88,R,23,R,1,R,157,R,5,R,5,R,3,Z,0,R,110,R,117,R,59,Z,0
139199,7,R,482,R,80,R,402,Z,0,R,11,R,188,R,22,R,1,R,229,R,6,R,13,R,12,R,0,R,20,R,332,R,129,R,1
139199,9,R,7,R,1,R,6,Z,0,Z,0,R,3,Z,0,Z,0,R,4,Z,0,Z,0,Z,0,R,0,R,0,R,4,R,3,Z,0
139199,10,R,18,R,3,R,15,R,0,R,1,R,7,R,1,R,0,R,9,R,0,R,0,R,0,Z,0,Z,0,R,12,R,6,Z,0
139205,3,R,3,Z,0,R,3,Z,0,Z,0,R,1,Z,0,Z,0,R,2,Z,0,Z,0,Z,0,Z,0,R,2,Z,0,R,1,Z,0
139205,5,R,63,R,33,R,30,Z,0,R,1,R,23,R,4,Z,0,R,32,Z,0,R,3,Z,0,R,0,R,38,R,19,R,5,R,1
139214,2,R,27,R,2,R,25,R,1,Z,0,R,14,R,3,Z,0,R,9,Z,0,Z,0,Z,0,R,0,R,2,R,11,R,14,Z,0
139214,3,R,1,R,0,R,1,R,0,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,0
139250,3,R,330,R,99,R,231,R,0,R,10,R,53,R,15,R,1,R,232,R,11,R,6,R,2,R,0,R,203,R,102,R,25,R,0
139250,5,R,240,R,67,R,173,R,0,R,4,R,37,R,3,R,0,R,171,R,5,R,16,R,4,R,0,R,119,R,91,R,30,R,0
139278,1,R,1854,R,807,R,1047,R,11,R,13,R,532,R,77,R,0,R,1159,R,34,R,19,R,9,R,204,R,795,R,570,R,285,R,0
139278,2,R,343,R,142,R,201,R,1,R,2,R,87,R,10,R,0,R,238,R,0,R,4,R,1,R,0,R,141,R,120,R,82,R,0
139278,3,R,370,R,101,R,269,R,0,R,5,R,98,R,14,R,0,R,245,R,1,R,5,R,2,R,0,R,112,R,155,R,103,R,0
139287,3,R,8,R,7,R,1,R,0,R,0,R,8,R,0,R,0,R,0,R,0,R,0,R,0,R,0,R,2,R,2,R,4,Z,0
139287,5,R,8,R,6,R,2,R,0,R,0,R,7,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,2,R,1,R,5,Z,0
139311,2,R,42,R,7,R,35,R,0,R,1,R,24,R,1,R,0,R,9,R,2,R,4,R,1,R,0,R,10,R,24,R,8,R,0
139311,3,R,46,R,17,R,29,R,0,R,0,R,26,R,2,R,1,R,14,R,0,R,3,R,0,R,2,R,18,R,13,R,13,R,0
139311,5,R,1028,R,286,R,742,R,1,R,51,R,684,R,16,R,1,R,189,R,28,R,42,R,16,R,0,R,367,R,464,R,197,R,0
139311,7,R,156,R,67,R,89,R,0,R,4,R,85,R,6,R,0,R,37,R,2,R,0,R,22,R,0,R,10,R,97,R,49,R,0
139348,7,R,48,R,26,R,22,R,0,R,5,R,9,R,1,R,0,R,22,R,0,R,0,R,11,R,0,R,0,R,32,R,16,R,0
139348,9,R,19,R,7,R,12,R,0,R,0,R,6,R,0,R,0,R,9,R,1,R,1,R,2,R,0,R,0,R,3,R,16,R,0
139357,1,R,634,R,286,R,348,R,1,R,8,R,298,R,35,R,5,R,263,R,11,R,13,R,0,R,37,R,305,R,185,R,107,R,0
139357,2,R,179,R,98,R,81,R,1,R,1,R,72,R,15,R,1,R,82,R,1,R,5,R,1,R,0,R,67,R,74,R,38,R,0
139357,3,R,252,R,81,R,171,R,1,R,7,R,98,R,11,R,1,R,127,R,4,R,2,R,1,R,0,R,73,R,136,R,43,R,0
139366,1,R,17,R,7,R,10,R,0,R,0,R,3,R,2,R,0,R,10,R,2,R,0,R,0,R,0,R,13,R,4,R,0,R,0
139366,2,R,140,R,88,R,52,R,0,R,1,R,51,R,1,R,0,R,86,R,1,R,0,R,0,R,0,R,7,R,45,R,88,R,0
139366,3,R,39,R,17,R,22,R,0,R,2,R,6,R,4,R,0,R,24,R,3,R,0,R,0,R,0,R,20,R,17,R,2,R,0
139366,5,R,1051,R,369,R,682,R,2,R,29,R,350,R,49,R,4,R,583,R,20,R,0,R,14,R,0,R,603,R,347,R,101,R,0
139366,7,R,387,R,194,R,193,R,1,R,5,R,105,R,14,R,0,R,244,R,7,R,0,R,11,R,0,R,39,R,234,R,114,R,0
139366,9,R,11,R,2,R,9,R,0,R,0,R,3,R,0,R,0,R,8,R,0,R,0,R,0,R,0,R,0,R,6,R,5,R,0
139366,10,R,94,R,36,R,58,R,0,R,0,R,41,R,4,R,0,R,42,R,2,R,0,R,5,R,0,R,2,R,54,R,38,R,0
139384,1,R,1657,R,789,R,868,R,7,R,10,R,143,R,145,R,1,R,1311,R,28,R,0,R,12,R,1,R,675,R,677,R,304,R,0
139384,2,R,637,R,218,R,419,R,1,R,3,R,60,R,45,R,0,R,519,R,7,R,0,R,2,R,0,R,224,R,299,R,114,R,0
139384,3,R,409,R,130,R,279,R,2,R,6,R,29,R,24,R,0,R,344,R,4,R,0,R,0,R,0,R,139,R,189,R,81,R,0
139393,5,R,237,R,89,R,148,R,2,R,3,R,8,R,5,R,1,R,206,R,7,R,0,R,5,R,0,R,220,R,12,R,5,R,0
139393,7,R,22,R,6,R,16,Z,0,Z,0,Z,0,Z,0,Z,0,R,21,R,1,Z,0,Z,0,R,0,R,11,R,10,R,1,Z,0
139463,2,R,48,R,3,R,45,R,0,R,1,R,5,R,20,R,0,R,19,R,0,R,3,R,0,R,0,R,22,R,20,R,6,R,0
139463,3,R,341,R,125,R,216,R,2,R,2,R,10,R,66,R,0,R,237,R,6,R,11,R,7,R,2,R,208,R,101,R,30,R,0
139463,5,R,385,R,155,R,230,R,2,R,3,R,12,R,62,R,1,R,280,R,1,R,19,R,5,R,0,R,216,R,137,R,32,R,0
139506,2,R,74,R,30,R,44,R,0,R,0,R,63,R,3,R,0,R,1,R,0,R,0,R,7,R,0,R,26,R,32,R,16,Z,0
139579,3,R,67,R,17,R,50,R,0,R,1,R,19,R,2,R,0,R,42,R,0,R,3,R,0,R,0,R,15,R,47,R,5,R,0
139579,5,R,125,R,36,R,89,R,2,R,2,R,56,R,9,R,0,R,50,R,0,R,6,R,0,R,0,R,12,R,63,R,50,R,0
139579,7,R,217,R,44,R,173,R,0,R,10,R,68,R,5,R,1,R,126,R,0,R,5,R,2,R,0,R,14,R,157,R,45,R,1
139579,9,R,80,R,25,R,55,R,0,R,2,R,9,R,3,R,1,R,62,R,0,R,3,R,0,R,0,R,30,R,46,R,4,R,0
139579,10,R,9,R,0,R,9,R,0,R,0,R,1,R,1,R,0,R,7,R,0,R,0,R,0,R,0,R,0,R,2,R,7,R,0
139621,3,R,354,R,133,R,221,R,3,R,3,R,125,R,14,R,0,R,204,R,3,R,0,R,2,R,0,R,293,R,53,R,8,R,0
139621,5,R,3,R,1,R,2,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,0,R,0,R,0,R,2,R,1,R,0,R,0
139630,3,R,23,R,6,R,17,R,0,R,0,R,6,R,3,R,0,R,14,R,0,R,0,R,0,Z,0,R,22,Z,0,R,1,Z,0
139630,5,R,110,R,57,R,53,R,0,R,0,R,15,R,3,R,0,R,81,R,0,R,0,R,11,Z,0,R,105,R,3,R,2,Z,0
139658,5,R,1933,R,799,R,1134,R,4,R,425,R,192,R,130,R,1,R,741,R,45,R,86,R,309,R,0,R,1785,R,136,R,12,R,0
139658,7,R,1503,R,610,R,893,R,3,R,116,R,194,R,66,R,0,R,655,R,26,R,115,R,328,R,0,R,301,R,1079,R,123,R,0
139658,9,R,737,R,326,R,411,R,1,R,81,R,54,R,32,R,1,R,412,R,15,R,61,R,80,R,0,R,56,R,658,R,23,R,0
139658,10,R,6,R,1,R,5,R,0,R,2,R,1,R,0,R,0,R,3,R,0,R,0,R,0,R,0,R,0,R,1,R,5,R,0
139700,3,R,600,R,214,R,386,R,1,R,3,R,86,R,48,R,0,R,442,R,15,R,1,R,4,R,0,R,383,R,169,R,48,R,0
139700,5,R,36,R,4,R,32,R,0,R,0,R,4,R,4,R,0,R,26,R,2,R,0,R,0,R,0,R,3,R,22,R,11,R,0
139719,5,R,427,R,160,R,267,R,0,R,1,R,397,R,7,R,1,R,16,R,3,R,0,R,2,R,0,R,290,R,107,R,30,R,0
139719,7,R,101,R,24,R,77,R,1,R,1,R,79,R,1,R,0,R,12,R,2,R,0,R,5,R,0,R,7,R,71,R,23,R,0
139719,10,R,8,R,1,R,7,R,0,R,0,R,6,R,1,R,0,R,1,R,0,R,0,R,0,R,0,R,0,R,4,R,4,R,0
139746,2,R,34,R,9,R,25,Z,0,R,1,R,9,R,0,Z,0,R,23,R,1,Z,0,Z,0,Z,0,R,4,R,28,R,2,Z,0
139755,5,R,3357,R,2254,R,1103,R,5,R,641,R,196,R,199,R,2,R,1768,R,115,R,17,R,414,R,1,R,2955,R,389,R,12,R,0
139755,7,R,2267,R,1631,R,636,R,0,R,179,R,91,R,79,R,0,R,820,R,37,R,1,R,1060,R,0,R,736,R,1410,R,121,R,0
139755,9,R,520,R,395,R,125,R,0,R,28,R,19,R,16,R,0,R,185,R,12,R,2,R,258,R,0,R,1,R,489,R,30,R,0
139764,1,R,3,R,0,R,3,R,0,R,0,R,0,R,0,R,0,R,3,R,0,R,0,R,0,R,0,R,2,R,1,R,0,R,0
139764,5,R,432,R,140,R,292,R,1,R,4,R,108,R,17,R,0,R,290,R,6,R,3,R,3,R,0,R,232,R,147,R,53,R,0
139764,7,R,80,R,9,R,71,R,0,R,2,R,11,R,1,R,0,R,61,R,0,R,0,R,5,R,0,R,17,R,48,R,15,R,0
139764,10,R,2,R,1,R,1,R,0,R,0,R,0,R,0,R,0,R,1,R,0,R,1,R,0,R,0,R,0,R,1,R,1,R,0
139861,5,R,1132,R,428,R,704,R,4,R,13,R,70,R,50,R,3,R,953,R,25,R,3,R,11,R,0,R,1051,R,69,R,12,R,0
139861,7,R,368,R,151,R,217,R,1,R,10,R,62,R,14,R,0,R,258,R,6,R,0,R,17,R,0,R,105,R,200,R,63,R,0
